title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962.0,8.3,325933.0
Halloween,movie,"Horror, Thriller",1978.0,7.7,320877.0
Madagascar,movie,"Adventure, Animation, Comedy",2005.0,6.9,453500.0
Mission: Impossible,movie,"Action, Adventure, Thriller",1996.0,7.2,484163.0
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000.0,6.1,388181.0
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006.0,6.9,400872.0
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997.0,7.1,160599.0
Irreversible,movie,"Crime, Drama, Mystery",2002.0,7.3,153369.0
Adam's Apples,movie,"Comedy, Crime, Drama",2005.0,7.7,56231.0
Whale Rider,movie,"Drama, Family",2002.0,7.5,44633.0
Point Break,movie,"Action, Crime, Thriller",1991.0,7.3,211294.0
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999.0,7.0,79304.0
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006.0,8.5,1497255.0
Dreamgirls,movie,"Drama, Musical",2006.0,6.6,78599.0
Babel,movie,Drama,2006.0,7.5,322366.0
The Queen,movie,"Biography, Drama",2006.0,7.3,117308.0
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999.0,7.4,258923.0
The Remains of the Day,movie,"Drama, Romance",1993.0,7.8,87805.0
The Good Shepherd,movie,"Drama, History, Thriller",2006.0,6.7,110192.0
Ghost Rider,movie,"Action, Fantasy, Thriller",2007.0,5.3,258916.0
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006.0,7.8,172954.0
"Don't Worry, I'm Fine",movie,Drama,2006.0,7.3,11505.0
The Host,movie,"Drama, Horror, Sci-Fi",2006.0,7.1,136752.0
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007.0,7.2,180031.0
Mr. Bean's Holiday,movie,"Comedy, Family",2007.0,6.4,137384.0
300,movie,"Action, Drama",2006.0,7.6,884597.0
TMNT,movie,"Action, Adventure, Animation",2007.0,6.2,70489.0
3-Iron,movie,"Crime, Drama, Romance",2004.0,7.9,59568.0
Bean,movie,"Adventure, Comedy, Family",1997.0,6.5,113210.0
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998.0,6.8,14037.0
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001.0,6.4,8194.0
Torrente 3: El protector,movie,"Comedy, Crime",2005.0,5.6,6473.0
Four Minutes,movie,"Drama, Music",2006.0,7.3,7574.0
American Psycho,movie,"Crime, Drama, Horror",2000.0,7.6,765431.0
Sex and Lucía,movie,"Drama, Romance",2001.0,7.0,39555.0
Monster's Ball,movie,"Drama, Romance",2001.0,7.0,95884.0
First Blood,movie,"Action, Adventure, Thriller",1982.0,7.7,286171.0
Rambo: First Blood Part II,movie,"Action, Adventure, Thriller",1985.0,6.5,188135.0
Rambo III,movie,"Action, Adventure, Thriller",1988.0,5.8,144028.0
Blood Diamond,movie,"Adventure, Drama, Thriller",2006.0,8.0,602388.0
Y tu mamá también,movie,Drama,2001.0,7.7,132938.0
The Pursuit of Happyness,movie,"Biography, Drama",2006.0,8.0,584187.0
Cutthroat Island,movie,"Action, Adventure, Comedy",1995.0,5.7,31641.0
"Sex, Lies, and Videotape",movie,Drama,1989.0,7.2,61421.0
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006.0,8.2,719510.0
Take My Eyes,movie,"Drama, Romance",2003.0,7.4,7651.0
The Departed,movie,"Crime, Drama, Thriller",2006.0,8.5,1471400.0
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006.0,7.5,271496.0
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003.0,6.3,172872.0
Little Children,movie,"Drama, Romance",2006.0,7.5,119017.0
The Virgin Suicides,movie,"Drama, Romance",1999.0,7.2,176784.0
Hellboy,movie,"Action, Adventure, Fantasy",2004.0,6.9,359248.0
Miss Congeniality,movie,"Action, Comedy, Crime",2000.0,6.3,237613.0
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006.0,7.0,46569.0
Spy Game,movie,"Action, Crime, Thriller",2001.0,7.1,171497.0
Changing Lanes,movie,"Drama, Thriller",2002.0,6.5,75997.0
The Lost Boys,movie,"Comedy, Horror",1987.0,7.2,168191.0
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002.0,7.3,43307.0
Resident Evil,movie,"Action, Horror, Sci-Fi",2002.0,6.6,297023.0
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004.0,6.1,214491.0
The Holiday,movie,"Comedy, Romance",2006.0,7.0,345610.0
Lammbock,movie,"Comedy, Crime",2001.0,7.2,12073.0
School of Rock,movie,"Comedy, Music",2003.0,7.2,342064.0
Secret Window,movie,"Drama, Mystery, Thriller",2004.0,6.5,214591.0
What's Eating Gilbert Grape,movie,Drama,1993.0,7.7,260207.0
Bring It On,movie,"Comedy, Romance, Sport",2000.0,6.2,109254.0
Meet the Parents,movie,"Comedy, Romance",2000.0,7.0,365326.0
Cape Fear,movie,"Crime, Thriller",1991.0,7.3,224567.0
Hitman,movie,"Action, Crime, Thriller",2007.0,6.2,182191.0
Liar Liar,movie,"Comedy, Fantasy",1997.0,6.9,345812.0
The People vs. Larry Flynt,movie,"Biography, Drama",1996.0,7.3,102795.0
Free Willy,movie,"Adventure, Drama, Family",1993.0,6.0,85435.0
The Island,movie,"Action, Sci-Fi, Thriller",2005.0,6.8,332863.0
The Net,movie,"Action, Crime, Drama",1995.0,6.0,76353.0
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004.0,7.7,106302.0
The Legend of Zorro,movie,"Action, Adventure, Romance",2005.0,6.0,110353.0
Hostel,movie,Horror,2005.0,5.9,196647.0
Hostel: Part II,movie,Horror,2007.0,5.5,98589.0
Anatomy,movie,"Horror, Thriller",2000.0,6.0,14341.0
The Cider House Rules,movie,"Drama, Romance",1999.0,7.4,106748.0
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008.0,6.6,537939.0
Iron Man,movie,"Action, Adventure, Sci-Fi",2008.0,7.9,1160412.0
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008.0,6.5,111078.0
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001.0,6.4,355322.0
Next,movie,"Action, Sci-Fi, Thriller",2007.0,6.2,169637.0
Footloose,movie,"Drama, Music, Romance",1984.0,6.6,96954.0
The Devil's Advocate,movie,"Drama, Fantasy, Mystery",1997.0,7.5,417783.0
"You, Me and Dupree",movie,"Comedy, Romance",2006.0,5.6,85163.0
50 First Dates,movie,"Comedy, Drama, Romance",2004.0,6.8,394467.0
Russian Dolls,movie,"Comedy, Drama, Romance",2005.0,7.0,21564.0
Rent,movie,"Drama, Musical, Romance",2005.0,6.8,56825.0
We Shall Overcome,movie,"Drama, Family",2006.0,7.3,3003.0
Transformers,movie,"Action, Adventure, Sci-Fi",2007.0,7.1,692201.0
